Unnamed: 0,Total (MToe),Coal,Oil & Gas,Renewable,Nuclear
China,2950,71%,13%,10%,6%
United States,2210,13%,69%,8%,10%
Russia,1516,16%,78%,2%,4%
Saudi Arabia,610,0,100%,0,0
Iran,354,0,99%,0,1%
United Arab Emirates,218,0,99%,0,1%
India,615,50%,11%,33%,6%
Canada,536,5%,81%,10%,4%
Indonesia,451,69%,17%,14%,0
Australia,423,64%,33%,3%,0
Brazil,325,1%,55%,42%,2%
Nigeria,249,0,47%,53%,0
Algeria,150,0,100%,0,0
South Africa,151,91%,1%,8%,0
Norway,214,0,93%,7%,0
France,128,0,1%,34%,65%
Germany,102,27%,3%,47%,23%
